---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| localite                                                               | departement                                                          | region                                                                  |
| "Millau"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Aveyron"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Rodez"^^<http://www.w3.org/2001/XMLSchema#string>                     | "Aveyron"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Aix-en-Provence"^^<http://www.w3.org/2001/XMLSchema#string>           | "Bouches-du-Rhône"^^<http://www.w3.org/2001/XMLSchema#string>        | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Beaune"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Côte-d'Or"^^<http://www.w3.org/2001/XMLSchema#string>               | "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Dijon"^^<http://www.w3.org/2001/XMLSchema#string>                     | "Côte-d'Or"^^<http://www.w3.org/2001/XMLSchema#string>               | "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Bergerac"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Dordogne"^^<http://www.w3.org/2001/XMLSchema#string>                | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Évreux"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Eure"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Haute-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Cenon"^^<http://www.w3.org/2001/XMLSchema#string>                     | "Gironde"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Saint-Médard-en-Jalles"^^<http://www.w3.org/2001/XMLSchema#string>    | "Gironde"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Mons-en-Barul"^^<http://www.w3.org/2001/XMLSchema#string>            | "Nord"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         |
| "Tourcoing"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Nord"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         |
| "Oullins"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Rhône"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Vénissieux"^^<http://www.w3.org/2001/XMLSchema#string>                | "Rhône"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Villeurbanne"^^<http://www.w3.org/2001/XMLSchema#string>              | "Rhône"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Creusot"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Saône-et-Loire"^^<http://www.w3.org/2001/XMLSchema#string>          | "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Chambéry"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Savoie"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "Dieppe"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Seine-Maritime"^^<http://www.w3.org/2001/XMLSchema#string>          | "Haute-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Fécamp"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Seine-Maritime"^^<http://www.w3.org/2001/XMLSchema#string>          | "Haute-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Rouen"^^<http://www.w3.org/2001/XMLSchema#string>                     | "Seine-Maritime"^^<http://www.w3.org/2001/XMLSchema#string>          | "Haute-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Élancourt"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>                | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Montauban"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Tarn-et-Garonne"^^<http://www.w3.org/2001/XMLSchema#string>         | "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              |
